ra_rad,dec_rad,magnitude,bv
1.7677953696,-0.2917512585,-1.440,0.009
1.6753053520,-0.9197127749,-0.620,0.164
3.7335290285,0.3347962181,-0.050,1.239
3.8381792118,-1.0617531758,-0.010,0.710
4.8735630955,0.6769031164,0.030,-0.001
1.3818164126,0.8028163926,0.080,0.795
1.3724303693,-0.1431456308,0.180,-0.030
2.0040830412,0.0911933319,0.400,0.432
0.4263550659,-0.9989698692,0.450,-0.158
1.5497291184,0.1292776317,0.450,1.500
3.6818756604,-1.0537083141,0.610,-0.231
5.1957721055,0.1547814171,0.760,0.221
3.2576512816,-1.1012869029,0.770,-0.243
1.2039308112,0.2881416661,0.870,1.538
1.3817577787,0.8028661535,0.960,0.650
3.5133172181,-0.1948018180,0.980,-0.235
4.3171054660,-0.4613254706,1.060,1.865
2.0303268875,0.4891494417,1.160,0.991
6.0111333839,-0.5170055514,1.170,0.145
3.3498170266,-1.0417654498,1.250,-0.238
5.4167685422,0.7902909828,1.250,0.092
3.8380695708,-1.0618286488,1.350,0.900
2.6545231722,0.2088671653,1.360,-0.087
1.8265996486,-0.5056582519,1.500,-0.211
1.9835582702,0.5565554130,1.580,0.034
3.2775789292,-0.9968135892,1.590,1.600
4.5972351525,-0.6475838425,1.620,-0.231
1.4186518338,0.1108232096,1.640,-0.224
1.4237168086,0.4992941924,1.650,-0.130
2.4138011729,-1.2167948189,1.670,0.070
1.4670083872,-0.0209774580,1.690,-0.184
5.7955076429,-0.8196236395,1.730,-0.070
1.4868406873,-0.0339042813,1.740,-0.199
2.1359886134,-0.8261793110,1.750,-0.145
3.3773355901,0.9766831266,1.760,-0.022
0.8915260038,0.8702417516,1.790,0.481
4.8178594527,-0.6001247623,1.790,-0.031
2.8960653502,1.0777588447,1.810,1.061
1.8692101323,-0.4606482337,1.830,0.671
3.6108299013,0.8606788389,1.850,-0.099
2.1926316760,-1.0386364142,1.860,1.196
4.6134236651,-0.7504535963,1.860,0.406
1.5687409450,0.7844806907,1.900,0.077
4.4011295862,-1.2047609005,1.910,1.447
1.7353445935,0.2862209442,1.930,0.001
2.2894512109,-0.9548490567,1.930,0.043
5.3478963791,-0.9902141216,1.940,-0.118
0.6622870749,1.5579526130,1.970,0.636
1.6698426956,-0.3133898839,1.980,-0.240
2.4765671803,-0.1511211225,1.990,1.440
0.5548981310,0.4094965333,2.010,1.151
2.7051398372,0.3462993056,2.010,1.128
0.1901946422,-0.3139254704,2.040,1.019
4.9535298294,-0.4589643845,2.050,-0.134
3.6943545481,-0.6347754527,2.060,1.011
0.0365971627,0.5077238185,2.070,-0.038
0.3042617927,0.6216960121,2.070,1.576
1.5173738928,-0.1687664399,2.070,-0.168
3.8864392902,1.2942577172,2.070,1.465
5.9457559977,-0.8182902343,2.070,1.610
4.6030200227,0.2192139606,2.080,0.155
0.8210415014,0.7148108979,2.090,-0.003
0.5406116765,0.7387930669,2.100,1.370
3.0938569660,0.2543304303,2.140,0.090
0.2474379511,1.0597070290,2.150,-0.046
3.3227502424,-0.8545112529,2.200,-0.023
2.1100341326,-0.6981866376,2.210,-0.269
2.4307649367,-1.0345479139,2.210,0.189
4.0783442887,0.4662593508,2.220,0.032
2.3910838764,-0.7580416852,2.230,1.665
3.5077838547,0.9586284043,2.230,0.057
5.3329772551,0.7026115975,2.230,0.673
0.1767448813,0.9867625763,2.240,1.170
4.6975807916,0.8986507442,2.240,1.521
1.4486524168,-0.0052201402,2.250,-0.175
0.0400258528,1.0323584044,2.280,0.380
3.5774351187,-0.9331646086,2.290,-0.171
4.1902451252,-0.3948233193,2.290,-0.117
4.4076754344,-0.5985298033,2.290,1.144
3.8481427618,-0.8270801174,2.300,-0.154
3.8201207361,-0.7357928411,2.330,-0.157
2.8878245691,0.9840589863,2.340,0.033
3.8614843384,0.4725343234,2.350,0.966
5.6905847755,0.1723514595,2.380,1.520
4.6359781677,-0.6812017099,2.390,-0.171
0.1146829030,-0.7383786688,2.400,1.083
3.1146712453,0.9371503534,2.410,0.044
4.4958726181,-0.2744514576,2.430,0.059
6.0378533040,0.4901371316,2.440,1.655
1.9377301885,-0.5114356375,2.450,-0.083
5.5788481524,1.0923243047,2.450,0.257
2.4526837752,-0.9601172782,2.470,-0.141
5.4376198187,0.5928928159,2.480,1.021
6.0421591459,0.2653819266,2.490,-0.002
0.7953445140,0.0713793229,2.540,1.630
4.3509267514,-0.1844305118,2.540,0.038
3.6457311141,-0.8253378423,2.550,-0.176
2.9413521654,0.3582064320,2.560,0.128
4.2125143827,-0.3456703699,2.560,-0.065
1.4518096517,-0.3110576147,2.580,0.211
3.1780639137,-0.8852733293,2.580,-0.128
3.2105604074,-0.3061644256,2.580,-0.107
4.9855850119,-0.5215062187,2.600,0.062
4.0011975270,-0.1637628017,2.610,-0.071
4.1201459864,0.1121483465,2.630,1.167
0.5002117420,0.3631687216,2.640,0.165
1.4819983268,-0.5947053712,2.650,-0.120
1.5695791535,0.6494821334,2.650,-0.083
3.2916353005,-0.4083504806,2.650,0.893
0.3744295873,1.0513040156,2.660,0.160
3.6419989524,0.3211007360,2.680,0.580
3.9205864841,-0.7528296217,2.680,-0.184
1.2958792110,0.5788574745,2.690,1.490
2.8220634854,-0.8625461715,2.690,0.901
3.3038399427,-1.2066432167,2.690,-0.176
4.5848225943,-0.6509346982,2.700,-0.179
1.9073945586,-0.6474729921,2.710,1.616
4.8039925129,-0.5205986101,2.720,1.380
5.1760341859,0.1852363513,2.720,1.507
4.2513849418,-0.0644780984,2.730,1.584
4.2934733707,1.0736255544,2.730,0.910
2.8054288325,-1.1238951714,2.740,-0.220
3.3233717735,-0.0252963627,2.740,0.368
1.4636027423,-0.1031472363,2.750,-0.210
3.4932668046,-0.6407504212,2.750,0.068
3.8871911695,-0.2799818461,2.750,0.147
4.6402743827,0.0797144715,2.760,1.168
1.3432479535,-0.0887752323,2.780,0.161
4.3206501315,0.3750645053,2.780,0.947
4.5145019814,0.2511586876,2.780,1.164
